uniqueID,loc,tray,pos,site_pop_mf,early,late,treat,date.1,phen.1,height.1,stem_diam.1,branch.1,buds.1,flrs.1,fruits.1,longest.leaf.1,notes.1,protocol.notes.1,date.2,phen.2,primary.branch.2,secondary.branch.2,VB.2,total.branch.2,buds.2,flrs.2,fruits.2,notes.2,protocol.notes.2,date.3,phen.3,primary.branch.3,secondary.branch.3,VB.3,total.branch.3,buds.3,flrs.3,fruits.3,notes.3,protocol.notes.3,date.4,phen.4,primary.branch.4,secondary.branch.4,VB.4,total.branch.4,buds.4,flrs.4,fruits.4,notes.4,protocol.notes.4,date.5,phen.5,buds.5,flrs.5,fruits.5,date.7,phen.7,buds.7,flrs.7,fruits.7,date.9,phen.9,buds.9,flrs.9,fruits.9,date.10,phen.10,buds.10,flrs.10,fruits.10,date.11,phen.11,buds.11,flrs.11,fruits.11,date.12,phen.12,buds.12,flrs.12,fruits.12,phen.13,buds.13,flrs.13,fruits.13
LVTR2 mf 7 #4,1,1,1,LVTR2 mf 7,1,1,both,4/10/19,B,11.5,3.55,7,23,0,0,,,height=length from base to end of longest branch,4/17/19,B,1,9,0,10,54,0,NA,,,4/24/19,B,,,,,20,0,0,,,5/1/19,,,,,,30,10,1,,,5/8/19,F,38,18,22,5/27/19,P,9,0,46,6/10/19,F,2,1,0,6/17/19,F,0,1,2,7/1/19,P,0,0,1,7/8/19,V,NA,NA,NA,V,NA,NA,NA
LV3 mf 18 #38,2,1,2,LV3 mf 18,0,0,control,4/10/19,B,8,3.52,1,13,0,0,,,,4/17/19,F,1,4,0,5,18,1,NA,,,4/24/19,F,,,,,27,11,4,,,5/1/19,,,,,,22,14,18,,,5/8/19,F,24,7,40,5/27/19,P,0,0,33,6/10/19,NA,NA,NA,NA,6/17/19,NA,NA,NA,NA,7/1/19,NA,NA,NA,NA,7/8/19,NA,NA,NA,NA,NA,NA,NA,NA
LV3 mf 19 #26,3,1,3,LV3 mf 19,0,1,late,4/10/19,B,10.5,3.9,4,21,0,0,,,,4/17/19,B,1,5,0,6,41,0,NA,,,4/24/19,F,,,,,67,24,2,,,5/1/19,,,,,,61,36,39,,,5/8/19,F,21,20,80,5/27/19,B,25,0,0,6/10/19,F,25,20,4,6/17/19,F,18,6,15,7/1/19,F,16,6,15,7/8/19,F,4,1,16,S,0,0,8
LVTR1 mf 2 #39,4,1,4,LVTR1 mf 2,1,1,both,4/10/19,B,8.5,2.9,1,7,0,0,,,,4/17/19,B,1,3,0,4,19,0,NA,,,4/24/19,B,,,,,22,0,0,,,5/1/19,,,,,,52,4,0,,,5/8/19,F,29,22,21,5/27/19,B,5,0,0,6/10/19,F,17,10,0,6/17/19,F,9,5,5,7/1/19,S/D,0,0,6,7/8/19,S,0,0,0,D,0,0,0
LV1 mf 14 #1,5,1,5,LV1 mf 14,1,0,early,4/10/19,B,9.5,3.62,2,15,0,0,,,,4/17/19,F,1,4,0,5,16,5,NA,,,4/24/19,B,,,,,6,0,0,,,5/1/19,,,,,,10,4,0,,,5/8/19,F,19,3,5,5/27/19,P,5,0,5,6/10/19,NA,NA,NA,NA,6/17/19,NA,NA,NA,NA,7/1/19,NA,NA,NA,NA,7/8/19,NA,NA,NA,NA,NA,NA,NA,NA
LV3 mf 8 #33,6,1,6,LV3 mf 8,0,1,late,4/10/19,V,4.5,2.62,1,0,0,0,5,,,4/17/19,V,1,0,0,1,0,0,NA,,,4/24/19,V,,,,,0,0,0,,,5/1/19,,,,,,0,0,0,,,5/8/19,V,NA,NA,NA,5/27/19,V,0,0,0,6/10/19,V,NA,NA,NA,6/17/19,V,NA,NA,NA,7/1/19,B,5,0,0,7/8/19,F,4,2,0,F,7,3,2
LVTR1 mf 2 #46,7,1,7,LVTR1 mf 2,1,1,both,4/10/19,B,10.5,3.01,13,58,0,0,,5VB,,4/17/19,F,1,7,2,10,78,3,NA,,,4/24/19,B,,,,,45,0,0,,,5/1/19,,,,,,60,9,3,,,5/8/19,F,37,25,29,5/27/19,P,2,0,0,6/10/19,F,5,4,0,6/17/19,D,0,0,0,7/1/19,D,0,0,0,7/8/19,D,0,0,0,D,0,0,0
LVTR2 mf 7 #8,8,1,8,LVTR2 mf 7,0,0,control,4/10/19,B,11,3.7,6,6,0,0,,,,4/17/19,NA,NA,NA,NA,NA,NA,NA,NA,,,4/24/19,X,,,,,NA,NA,NA,,,5/1/19,,,,,,NA,NA,NA,,,5/8/19,D/X,NA,NA,NA,5/27/19,D/X,NA,NA,NA,6/10/19,NA,NA,NA,NA,6/17/19,NA,NA,NA,NA,7/1/19,NA,NA,NA,NA,7/8/19,NA,NA,NA,NA,NA,NA,NA,NA
LV3 mf 1 #92,9,1,9,LV3 mf 1,extra,extra,extra,4/10/19,B,10.5,4.57,8,24,0,0,,,,4/17/19,B,1,12,1,14,53,NA,NA,,,4/24/19,F,,,,,80,32,3,,,5/1/19,,,,,,60,40,56,,,5/8/19,CC,NA,NA,NA,5/27/19,CC,NA,NA,NA,6/10/19,NA,NA,NA,NA,6/17/19,NA,NA,NA,NA,7/1/19,NA,NA,NA,NA,7/8/19,NA,NA,NA,NA,NA,NA,NA,NA
LV3 mf 19 #56,10,1,10,LV3 mf 19,extra,extra,extra,4/10/19,B,9.5,4.02,3,17,0,0,,,,4/17/19,F,1,2,0,3,28,0,NA,,,4/24/19,F,,,,,46,14,3,,,5/1/19,,,,,,50,22,27,,,5/8/19,CC,NA,NA,NA,5/27/19,CC,NA,NA,NA,6/10/19,NA,NA,NA,NA,6/17/19,NA,NA,NA,NA,7/1/19,NA,NA,NA,NA,7/8/19,NA,NA,NA,NA,NA,NA,NA,NA
LV3 mf 8 #9,11,2,1,LV3 mf 8,extra,extra,extra,4/10/19,B,6.5,3.93,4,9,0,0,,,,4/17/19,B,1,0,0,1,14,1,NA,,,4/24/19,F,,,,,38,8,0,,,5/1/19,,,,,,47,15,11,,,5/8/19,F,34,13,39,5/27/19,P,7,0,17,6/10/19,NA,NA,NA,NA,6/17/19,NA,NA,NA,NA,7/1/19,NA,NA,NA,NA,7/8/19,NA,NA,NA,NA,NA,NA,NA,NA
LV3 mf 1 #58,12,2,2,LV3 mf 1,0,0,control,4/10/19,B,11,5.04,7,29,0,0,,,,4/17/19,B,1,5,0,6,48,0,NA,,,4/24/19,F,,,,,58,25,4,,,5/1/19,,,,,,52,18,37,,,5/8/19,F,34,12,68,5/27/19,P,7,0,48,6/10/19,NA,NA,NA,NA,6/17/19,NA,NA,NA,NA,7/1/19,NA,NA,NA,NA,7/8/19,NA,NA,NA,NA,NA,NA,NA,NA
LV3 mf 6 #11,13,2,3,LV3 mf 6,1,0,early,4/10/19,B,5.5,3.48,2,5,0,0,,,,4/17/19,B,1,0,1,2,8,0,NA,,,4/24/19,F,,,,,25,4,0,,,5/1/19,,,,,,15,0,0,,,5/8/19,F,23,3,1,5/27/19,F,19,12,14,6/10/19,P,4,0,19,6/17/19,NA,NA,NA,NA,7/1/19,NA,NA,NA,NA,7/8/19,NA,NA,NA,NA,NA,NA,NA,NA
LV3 mf 19 #27,14,2,4,LV3 mf 19,0,1,late,4/10/19,B,9,3.71,1,12,0,0,,,,4/17/19,B,1,0,0,1,17,0,NA,,,4/24/19,F,,,,,18,11,2,,,5/1/19,,,,,,20,9,19,,,5/8/19,F,9,6,35,5/27/19,P,0,0,0,6/10/19,F,20,4,0,6/17/19,F,6,3,5,7/1/19,F,3,4,5,7/8/19,F,3,1,9,P,3,0,5
LVTR1 mf 17 #12,15,2,5,LVTR1 mf 17,1,0,early,4/10/19,B,9,4.08,11,63,0,0,,,,4/17/19,B,1,9,0,10,63,0,NA,,,4/24/19,V,,,,,0,0,0,,,5/1/19,,,,,,6,0,0,,,5/8/19,F,6,5,0,5/27/19,P,0,0,4,6/10/19,NA,NA,NA,NA,6/17/19,NA,NA,NA,NA,7/1/19,NA,NA,NA,NA,7/8/19,NA,NA,NA,NA,NA,NA,NA,NA
LVTR1 mf 2 #40,16,2,6,LVTR1 mf 2,1,1,both,4/10/19,B,10,4.02,7,33,0,0,,,,4/17/19,F,1,6,0,7,89,4,NA,,,4/24/19,B,,,,,40,0,0,,,5/1/19,,,,,,70,8,2,,,5/8/19,F,73,27,29,5/27/19,P,0,0,48,6/10/19,F,8,1,0,6/17/19,F,5,1,2,7/1/19,D,0,0,0,7/8/19,D,0,0,0,D,0,0,0
LV3 mf 18 #7,17,2,7,LV3 mf 18,extra,extra,extra,4/10/19,B,4,3.75,1,6,0,0,,,,4/17/19,B,1,0,0,1,10,0,NA,,,4/24/19,F,,,,,9,7,0,,,5/1/19,,,,,,12,4,10,,,5/8/19,F,12,5,16,5/27/19,P,4,0,21,6/10/19,NA,NA,NA,NA,6/17/19,NA,NA,NA,NA,7/1/19,NA,NA,NA,NA,7/8/19,NA,NA,NA,NA,NA,NA,NA,NA
LV3 mf 18 #5,18,2,8,LV3 mf 18,extra,extra,extra,4/10/19,B,10,3.56,1,12,0,0,,,,4/17/19,B,1,0,0,1,18,0,NA,,,4/24/19,F,,,,,33,10,3,,,5/1/19,,,,,,NA,NA,NA,,,5/8/19,CC,NA,NA,NA,5/27/19,CC,NA,NA,NA,6/10/19,NA,NA,NA,NA,6/17/19,NA,NA,NA,NA,7/1/19,NA,NA,NA,NA,7/8/19,NA,NA,NA,NA,NA,NA,NA,NA
LV3 mf 6 #84,19,2,9,LV3 mf 6,extra,extra,extra,4/10/19,B,11.5,4.71,8,31,0,0,,,,4/17/19,F,1,3,0,4,45,1,NA,,,4/24/19,F,,,,,50,19,4,,,5/1/19,,,,,,50,33,36,,,5/8/19,CC,NA,NA,NA,5/27/19,CC,NA,NA,NA,6/10/19,NA,NA,NA,NA,6/17/19,NA,NA,NA,NA,7/1/19,NA,NA,NA,NA,7/8/19,NA,NA,NA,NA,NA,NA,NA,NA
LV3 mf 8 #52,20,2,10,LV3 mf 8,0,0,control,4/10/19,B,7.5,4.1,6,27,0,0,,,,4/17/19,B,1,3,0,4,33,0,NA,,,4/24/19,F,,,,,47,15,3,,,5/1/19,,,,,,37,21,24,,,5/8/19,F,20,8,52,5/27/19,S,NA,NA,NA,6/10/19,NA,NA,NA,NA,6/17/19,NA,NA,NA,NA,7/1/19,NA,NA,NA,NA,7/8/19,NA,NA,NA,NA,NA,NA,NA,NA
