uniqueID,treat1_date,treat1_notes,treat2_date,treat2_notes,,
LVTR2 mf 7 #4,4/22/19,,5/27/19,,,
LV3 mf 18 #38,NA,,NA,,,
LV3 mf 19 #26,NA,,5/15/19,,,
LVTR1 mf 2 #39,4/22/19,done a bit late,5/22/19,5/22 or 24É,,
LV1 mf 14 #1,4/21/19,,NA,,,
LV3 mf 8 #33,NA,,NA,veg,,
LVTR1 mf 2 #46,4/21/19,done a bit late; >10 flrs,5/25/19,,,
LVTR2 mf 7 #8,NA,,NA,,,
LV3 mf 1 #92,NA,,NA,,,
LV3 mf 19 #56,NA,,NA,,,
LV3 mf 8 #9,NA,,NA,,,
LV3 mf 1 #58,NA,,NA,,,
LV3 mf 6 #11,4/25/19,,NA,,,
LV3 mf 19 #27,NA,,5/20/19,,,
LVTR1 mf 17 #12,4/22/19,,NA,,,
LVTR1 mf 2 #40,4/22/19,,5/27/19,,,
LV3 mf 18 #7,NA,,NA,,,
LV3 mf 18 #5,NA,,NA,,,
LV3 mf 6 #84,NA,,NA,,,
LV3 mf 8 #52,NA,,NA,,,
LV3 mf 6 #45,4/21/19,,6/5/19,,,
LVTR1 mf 2 #56,4/21/19,,5/27/19,,,
LV3 mf 6 #78,NA,,NA,,,
LV3 mf 8 #51,NA,,NA,,,
LV3 mf 1 #55,NA,,NA,,,
LVTR1 mf 17 #22,NA,,5/15/19,,,
LV3 mf 8 #8,NA,,NA,,,
LVTR1 mf 17 #13,4/21/19,,NA,,,
LV3 mf 18 #4,NA,,NA,,,
LV1 mf 5 #15,NA,,5/27/19,,,
LV3 mf 8 #78,NA,,NA,,,
LV3 mf 1 #78,NA,,NA,,,
LV3 mf 1 #37,NA,,5/23/19,,,
LV3 mf 18 #47,NA,,NA,,,
LVTR2 mf 7 #7,NA,,NA,,,
LV3 mf 1 #66,NA,,NA,,,
LVTR3 mf 2 #5,4/21/19,,5/23/19,,,
LV3 mf 6 #63,NA,,NA,,,
LVTR3 mf 10 #6,NA,,NA,,,
LV3 mf 19 #36,4/21/19,,6/1/19,,,
LV3 mf 8 #7,NA,,NA,,,
LV1 mf 5 #11,4/21/19,,NA,,,
LV3 mf 6 #83,NA,,NA,,,
LV3 mf 8 #90,NA,,NA,,,
LVTR1 mf 2 #23,NA,,5/15/19,,,
LVTR2 mf 7 #3,4/22/19,mutanty flrs,5/29/19,,,
LV3 mf 8 #67,NA,,NA,,,
LVTR1 mf 17 #3,4/22/19,,5/27/19,,,
LV3 mf 1 #11,NA,veg 4/23,NA,,,
LVTR2 mf 7 #10,4/21/19,,NA,,,
LV3 mf 6 #77,NA,,NA,,,
LVTR1 mf 7 #31,NA,,NA,DEAD,,
LV1 mf 5 #3,4/21/19,,5/27/19,,,
LV1 mf 14 #2,NA,veg 4/23,NA,veg,,
LV3 mf 8 #68,NA,,NA,,,
LV3 mf 6 #57,NA,,NA,,,
LV3 mf 18 #27,NA,DEAD,NA,dead,,
LV3 mf 8 #81,NA,,NA,dead,,
LVTR1 mf 2 #42,4/21/19,,5/23/19,,,
LVTR1 mf 2 #60,NA,,NA,,,
LV3 mf 1 #14,4/22/19,,NA,,,
LVTR1 mf 2 #36,4/21/19,,5/23/19,,,
LV3 mf 8 #60,NA,,NA,,,
LV3 mf 6 #30,NA,,5/20/19,,,
LV3 mf 8 #69,NA,,NA,,,
LV3 mf 8 #28,NA,,5/20/19,,,
LV3 mf 19 #49,NA,,NA,,,
LV3 mf 6 #88,NA,,NA,,,
LVTR2 mf 7 #14,NA,,5/20/19,,,
LV3 mf 8 #38,NA,,NA,dead,,
LV3 mf 6 #3,NA,,5/27/19,,,
LV3 mf 8 #82,NA,,NA,,,
LV3 mf 1 #5,4/23/19,,6/1/19,,,
LV3 mf 1 #32,NA,,6/1/19,,,
LVTR3 mf 2 #16,NA,,5/17/19,,,
LV3 mf 19 #57,NA,,NA,,,
LVTR1 mf 2 #44,4/23/19,,5/27/19,,,
LV3 mf 1 #56,NA,,NA,,,
LV3 mf 18 #35,NA,,NA,,,
LV1 mf 5 #16,NA,,5/15/19,,,
LV3 mf 19 #15,4/21/20,odd mutanty flrs,NA,,,
LV3 mf 6 #70,NA,,NA,,,
LV3 mf 19 #29,NA,,5/13/19,,,
LV3 mf 18 #26,4/21/19,,6/1/19,,,
LV3 mf 6 #71,NA,,NA,,,
LV1 mf 14 #3,4/22/19,,5/27/19,,,
LV3 mf 19 #64,NA,,NA,,,
LV3 mf 6 #21,4/21/19,,NA,,,
LV3 mf 6 #12,4/22/19,,NA,,,
LVTR1 mf 17 #17,NA,,5/15/19,,,
LV1 mf 5 #12,4/21/19,,NA,,,
LVTR3 mf 2 #6,NA,,NA,,,
LV1 mf 9 #2,NA,,NA,,,
LV1 mf 9 #1,NA,,5/15/19,,,
LVTR1 mf 17 #32,4/21/19,,5/29/19,,,
LV3 mf 6 #7,NA,,NA,,,
LV3 mf 1 #49,4/21/19,,6/1/19,,,
LV1 mf 5 #14,NA,,5/15/19,,,
LV3 mf 8 #24,NA,,5/15/19,,,
LV3 mf 18 #44,NA,,NA,,,
LV3 mf 19 #8,NA,,NA,,,
LV3 mf 1 #27,NA,,NA,dead,,
LV1 mf 14 #4,4/21/19,,6/15/19,,,
LV1 mf 5 #4,4/23/19,,5/25/19,,,
LV3 mf 19 #54,NA,,NA,,,
LV3 mf 1 #33,NA,,NA,veg,,
LV3 mf 8 #23,4/21/19,,NA,,,
LV3 mf 6 #80,NA,,NA,,,
LV3 mf 1 #81,NA,,NA,,,
LVTR1 mf 17 #29,4/21/19,late; tiny fruits (3),5/25/19,,,
LV3 mf 18 #13,4/21/19,,NA,,,
LV3 mf 8 #75,NA,,NA,,,
LVTR3 mf 2 #9,NA,,NA,,,
LV3 mf 8 #10,4/23/19,,NA,,,
LV3 mf 1 #59,NA,,NA,,,
LV3 mf 19 #17,4/21/19,,NA,,,
LV3 mf 18 #15,4/21/19,,NA,,,
LVTR1 mf 2 #43,NA,DEAD,NA,DEAD,,
LV3 mf 19 #41,NA,,NA,,,
LVTR1 mf 17 #16,4/21/19,late - tiny fruits (2),NA,,,
LV3 mf 1 #19,4/23/19,,NA,,,
LVTR2 mf 7 #12,NA,,5/29/19,,,
LVTR1 mf 2 #1,4/21/19,late - tiny fruits (2),NA,,,
LV3 mf 6 #14,4/22/19,,NA,,,
LV3 mf 8 #71,NA,,NA,,,
LVTR1 mf 2 #45,4/22/19,,5/27/19,,,
LV3 mf 6 #28,NA,,5/21/19,,,
LV1 mf 5 #10,4/21/19,,NA,,,
LV3 mf 6 #50,4/21/19,,5/29/19,,,
LV3 mf 6 #32,NA,,5/25/19,,,
LVTR1 mf 2 #4,4/21/19,,5/23/19,,,
LV3 mf 6 #8,NA,,NA,,,
LV3 mf 1 #31,NA,,5/20/19,,,
LV1 mf 5 #17,NA,,5/15/19,,,
LV3 mf 8 #14,4/22/19,,NA,,,
LVTR1 mf 17 #24,4/21/19,a little late,5/25/19,,,
LV3 mf 18 #41,NA,,NA,,,
LV3 mf 1 #50,4/21/19,,5/25/19,,,
LVTR1 mf 17 #20,NA,,5/20/19,,,
LV3 mf 6 #29,NA,,5/15/19,dying,,
LV3 mf 1 #85,NA,,NA,,,
LV3 mf 1 #89,NA,,NA,,,
LV3 mf 19 #43,NA,,NA,,,
LV3 mf 19 #45,NA,,NA,,,
LV3 mf 6 #31,NA,,5/23/19,,,
LVTR3 mf 2 #10,4/21/19,,NA,,,
LV3 mf 1 #91,NA,,NA,,,
LVTR1 mf 2 #21,4/21/19,,NA,,,
LVTR3 mf 2 #3,4/21/19,,5/27/19,,,
LV3 mf 6 #66,NA,,NA,,,
LV3 mf 1 #26,NA,,NA,mutant,,
LVTR1 mf 2 #20,4/21/19,v. late - fruits ~ 1 inch long,NA,,,
LVTR1 mf 2 #30,NA,,5/13/19,,,
LV1 mf 14 #5,4/21/19,,6/1/19,,,
LV3 mf 8 #4,NA,DEAD,NA,dead,,
LV3 mf 18 #28,4/21/19,,6/1/19,,,
LV3 mf 1 #94,NA,,NA,,,
LVTR1 mf 2 #7,NA,,NA,,,
